ID;Precio (€/mes);Tipo;Teléfono;Ciudad;Dirección;Barrio;Habitaciones;Baños;Superficie (m2);Planta;Ascensor;Terraza;Parking;Calefacción;Aire;Balcón;Precio del m2 (€/m2)
163001940;1000;Piso;932992519;Barcelona Capital;Carrer de L'arquitectura;Horta - Guinardó;2.0;1.0;85.0;3.0;False;False;True;True;False;True;11.764705882352942
162374941;1210;Piso;931337036;Barcelona Capital;Carrer la Rambla;Ciutat Vella;1.0;1.0;45.0;1.0;True;False;False;True;False;True;26.88888888888889
162691725;1575;Piso;931332815;Barcelona Capital;Roger de Flor;Eixample;3.0;2.0;155.0;2.0;True;False;False;True;False;False;10.161290322580646
163058375;790;Piso;932995389;Barcelona Capital;Carrer de Pelai;Eixample;1.0;1.0;45.0;1.0;False;False;False;True;True;False;17.555555555555557
163052942;1050;Piso;932995389;Barcelona Capital;Rambla de Catalunya;Eixample;1.0;1.0;50.0;7.0;True;False;False;True;True;False;21.0
163036673;2200;Piso;932995389;Barcelona Capital;Via Augusta;Sarrià - Sant Gervasi;3.0;2.0;130.0;3.0;True;True;False;False;False;True;16.923076923076923
162994620;2500;Apartamento;931348912;Barcelona Capital;;Eixample;3.0;4.0;100.0;;False;True;False;False;False;False;25.0
162954245;2000;Piso;932821728;Barcelona Capital;Balmes;Sarrià - Sant Gervasi;3.0;2.0;105.0;2.0;True;False;False;True;False;True;19.047619047619047
162581201;1100;Piso;Unknown;Barcelona Capital;;Sarrià - Sant Gervasi;2.0;1.0;89.0;2.0;False;False;False;True;False;False;12.359550561797754
161959316;930;Piso;931337036;Barcelona Capital;Carrer de Magalhaes;Sants - Montjuïc;1.0;1.0;33.0;5.0;False;True;False;True;True;False;28.181818181818183
162849536;1000;Piso;932992519;Barcelona Capital;Onze de Setmebre;Sant Andreu;3.0;1.0;70.0;7.0;True;False;False;False;True;True;14.285714285714286
163026103;1200;Piso;932995389;Barcelona Capital;Carrer de Felipe de Paz;Les Corts;4.0;2.0;95.0;3.0;True;True;False;False;False;True;12.631578947368421
158591498;889;Piso;935438530;Barcelona Capital;D'espronceda;Sant Andreu;3.0;1.0;74.0;6.0;True;False;False;False;False;False;12.013513513513514
162591780;1490;Piso;931337036;Barcelona Capital;Avinguda del Coll del Portell;Gràcia;3.0;1.0;70.0;1.0;True;False;False;True;False;True;21.285714285714285
163067906;1600;Piso;932995389;Barcelona Capital;Carrer de Muntaner;Sarrià - Sant Gervasi;2.0;2.0;90.0;2.0;True;False;False;True;False;False;17.77777777777778
163057445;2000;Piso;932827054;Barcelona Capital;D´avinyó;Ciutat Vella;3.0;2.0;110.0;;True;True;False;False;True;True;18.181818181818183
163055011;1275;Piso;931337036;Barcelona Capital;Carrer de Casanova;Eixample;1.0;1.0;36.0;5.0;True;True;False;True;False;False;35.416666666666664
163038788;1800;Piso;932827054;Barcelona Capital;Via Laietana;Ciutat Vella;2.0;2.0;80.0;4.0;True;True;False;False;False;True;22.5
163038468;8500;Piso;932755759;Barcelona Capital;Rambla de Catalunya;Eixample;3.0;4.0;241.0;;True;True;False;True;True;False;35.26970954356847
163037828;1600;Piso;932755759;Barcelona Capital;;Gràcia;2.0;1.0;81.0;2.0;True;True;False;True;False;False;19.753086419753085
161974782;1600;Piso;931337036;Barcelona Capital;Carrer de Puerto Príncipe;Sant Andreu;2.0;1.0;45.0;1.0;True;True;False;True;False;False;35.55555555555556
163029286;1425;Piso;931337036;Barcelona Capital;Carrer Dels Consellers;Ciutat Vella;2.0;1.0;60.0;3.0;True;False;False;True;True;False;23.75
163028775;1400;Piso;931337036;Barcelona Capital;Carrer Dels Consellers;Ciutat Vella;2.0;1.0;60.0;2.0;True;False;False;True;True;False;23.333333333333332
